model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain,type,efficient,dataset,pen
regnetv_040,20640640,25.435111424,7.2351744,0.369963008,6.716689408,0.043372773091,2.168638654532,27.439772367477417,0,0.7620967741935484,2.022480607032776,0.9720319634703196,0.7651209677419355,0.8069556451612904,0.7681451612903226,0.7993951612903226,0.8225806451612904,0.8119959677419355,0.8225806451612904,0.8417338709677419,0.8326612903225806,1.0,CNN,0,derma_pt,0.7112730499765977
resnetaa50,25557032,25.435111424,4.777312256,0.4232832,4.085200896,0.039704505616,2.005077533606,24.826526165008545,0,0.7399193548387096,1.991270661354065,0.9651734420697984,0.7817540322580645,0.8054435483870968,0.7888104838709677,0.7787298387096774,0.7953629032258065,0.7998991935483871,0.7988911290322581,0.8119959677419355,0.8205645161290323,1.0,CNN,0,derma_pt,0.7096900412808276
crossvit_9_240,8553296,25.435111424,2.344615936,0.172932096,1.929966592,0.023208169962,1.241637092978,14.41381549835205,0,0.6441532258064516,1.2142114400863648,0.8904063557380955,0.7368951612903226,0.7520161290322581,0.7555443548387096,0.766633064516129,0.7676411290322581,0.782258064516129,0.7731854838709677,0.7590725806451613,0.7701612903225806,1.0,Other,1,derma_pt,0.7057156263796769
selecsls60b,32774064,25.435111424,3.126853632,0.559498752,2.881550848,0.027199844238,1.414391900351,17.31958842277527,0,0.7505040322580645,1.3607622623443605,0.9564783105022832,0.7762096774193549,0.7661290322580645,0.7867943548387096,0.7373991935483871,0.7731854838709677,0.735383064516129,0.7671370967741935,0.7893145161290323,0.7807459677419355,1.0,CNN,0,derma_pt,0.7052643152924825
resnext50d_32x4d,25048136,25.435111424,6.094323712,0.415325696,5.431085568,0.04835526132,2.417763065975,30.42319083213806,0,0.764616935483871,2.302870893478393,0.9623287671232876,0.8220766129032258,0.7595766129032258,0.8256048387096774,0.8240927419354839,0.8009072580645161,0.7162298387096774,0.8382056451612904,0.8225806451612904,0.8392137096774194,1.0,CNN,0,derma_pt,0.7050625440969318
convnext_atto,3695520,25.435111424,1.59383552,0.09845248,1.502295552,0.018526567741,1.056014361265,11.890080451965332,0,0.6693548387096774,0.6830298423767089,0.7860555676020444,0.6764112903225806,0.7111895161290323,0.7016129032258065,0.7106854838709677,0.7182459677419355,0.7162298387096774,0.7242943548387096,0.7580645161290323,0.7555443548387096,1.0,CNN,0,derma_pt,0.704208664667379
halonet26t,12480288,25.435111424,3.745513472,0.20950784,3.038918656,0.028246463532,1.497062567206,17.558091402053833,0,0.7273185483870968,1.3755893468856812,0.9159439900150038,0.7661290322580645,0.7762096774193549,0.7610887096774194,0.7903225806451613,0.7258064516129032,0.7807459677419355,0.766633064516129,0.8019153225806451,0.7817540322580645,1.0,Other,0,derma_pt,0.7035576204381926
densenet121,7978856,25.435111424,6.25999872,0.154098176,5.689198592,0.040154341279,2.168334429053,25.251441478729248,0,0.8029233870967742,1.887811541557312,0.9728789215218532,0.796875,0.8084677419354839,0.8170362903225806,0.8049395161290323,0.8276209677419355,0.8417338709677419,0.827116935483871,0.8361895161290323,0.8130040322580645,1.0,CNN,0,derma_pt,0.7020763538073317
legacy_seresnet50,28088024,25.435111424,5.532286976,0.463534592,4.790603776,0.040723320534,2.158335988313,25.296940565109253,0,0.7857862903225806,1.9622081995010376,0.9790239726027398,0.7363911290322581,0.7837701612903226,0.6557459677419355,0.7963709677419355,0.797883064516129,0.8024193548387096,0.8155241935483871,0.7883064516129032,0.8099798387096774,1.0,CNN,0,derma_pt,0.6981150835919782
lamhalobotnet50ts_256,22569824,25.435111424,6.98351616,0.374550016,6.457460736,0.052349177422,2.826855580779,32.4860782623291,0,0.7903225806451613,2.3031406164169312,0.9693207762557078,0.8311491935483871,0.8094758064516129,0.7963709677419355,0.8195564516129032,0.7878024193548387,0.8412298387096774,0.8346774193548387,0.8215725806451613,0.8412298387096774,1.0,Other,0,derma_pt,0.6975465858907258
