model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain,type,efficient,dataset,pen,conv_idx,best_test,energy_conv,time_conv,co2_conv,E_n,pepr_e,C_n,pepr_c,T_n,pepr_t,pepr_m,cnn,pepr_t`
dpn68b,12611602,25.435111424,4.628414464,0.220248064,4.265887744,0.041638116767,2.186001130283,26.2539176940918,0,0.80695564516129,1.88767223358154,0.983019406392694,0.82258064516129,0.786290322580645,0.840725806451613,0.841229838709677,0.852318548387097,0.872983870967742,0.85383064516129,0.852318548387097,0.856350806451613,1,CNN,0,derma_pt,0.7357990902809997,7,0.872983870967742,5.948302395285714,3.750559670584543,0.3122858757547143,0.019258672654922517,0.8564890291233236,0.014921663134438963,0.8601490170893165,0.01933641644469141,0.850319321491097,0.763297041158757,True,0.856423705544233
gc_efficientnetv2_rw_t,13677713,25.435111424,6.088032256,0.245718528,5.555784192,0.036697176234,1.908253164157,22.9202487468719,0,0.840725806451613,1.60057165622711,0.984018264840183,0.803931451612903,0.83366935483871,0.850302419354839,0.842741935483871,0.851310483870968,0.850806451612903,0.825604838709677,0.875,0.846774193548387,1,Other,1,derma_pt,0.7399309824175465,9,0.875,4.077464026,2.5466943052079887,0.2120281293507777,0.011866033652491143,0.8647389781842449,0.009012901299627882,0.867184154804149,0.011621699720085222,0.8595551348354251,0.7217967988300292,False,0.8649478359767407
sehalonet33ts,13691712,25.435111424,5.637144576,0.243127296,4.795500032,0.03766964302,1.958821437039,23.4673907756805,0,0.73991935483871,1.86933417320251,0.94347473856521,0.787298387096774,0.793346774193548,0.775201612903226,0.783770161290323,0.774697580645161,0.783266129032258,0.765120967741936,0.813508064516129,0.790826612903226,1,Other,0,derma_pt,0.6887397772315085,9,0.813508064516129,4.185515891111111,2.6074878639645,0.2176468263376666,0.012293001821104675,0.8036290511271306,0.009344043216420397,0.8059769807763151,0.012011282391018268,0.7988044255454332,0.6830023467321804,False,0.8038527619910544
sebotnet33ts_256,13701984,25.435111424,6.786383872,0.24574464,5.310598656,0.039873085081,2.053463881664,24.9957239627838,0,0.726310483870968,2.06680181026459,0.823179039508785,0.750504032258065,0.764616935483871,0.788306451612903,0.784778225806452,0.796370967741936,0.71875,0.784274193548387,0.779233870967742,0.735383064516129,1,Other,0,derma_pt,0.6356536128510059,6,0.796370967741936,6.645514180166667,4.1659539937973,0.3422439802773333,0.022013712918413378,0.7792174974520226,0.01668726540454527,0.7832998354956828,0.021998383160208267,0.7734376329265065,0.6396293359294262,False,0.7792291855486205
densenet169,14149480,25.435111424,7.537164288,0.243029504,6.892307456,0.048852029744,2.515879531817,30.8476948738098,0,0.725302419354839,2.33236474990845,0.956759095464123,0.761592741935484,0.768145161290323,0.796370967741936,0.778729838709677,0.809475806451613,0.804939516129032,0.775201612903226,0.755040322580645,0.79133064516129,1,CNN,0,derma_pt,0.6637437350654837,6,0.809475806451613,8.142004957333333,5.1412824789683,0.4193132553028333,0.027927113171309085,0.7874836611267689,0.021229398129856084,0.7926483588643055,0.028248569595449722,0.7808287341087282,0.6322492393955864,True,0.7872374738824972
maxvit_nano_rw_256,15451148,25.435111424,9.313452032,0.28503552,8.43572736,0.061429731881,3.132916325913,38.655298948288,0,0.582157258064516,3.3161167383194,0.814888974847315,0.643649193548387,0.718245967741936,0.736895161290323,0.745463709677419,0.734879032258065,0.762600806451613,0.760584677419355,0.757560483870968,0.766633064516129,1,Other,0,derma_pt,0.6173990979548191,10,0.766633064516129,6.1429731881,3.8655298948288,0.3132916325913,0.02002791649726609,0.7515804735508763,0.014980938131377101,0.7553176968303789,0.020073178824703452,0.7461267722978974,0.5621569770354078,False,0.7515471246870933
gcresnext50ts,15667320,25.435111424,6.828326912,0.260716032,6.073332736,0.046422512776,2.367548151599,28.9330103397369,0,0.827116935483871,2.75699489116669,0.991295662100457,0.843245967741935,0.837197580645161,0.828125,0.846270161290323,0.850302419354839,0.817540322580645,0.852318548387097,0.835685483870968,0.86491935483871,1,Other,0,derma_pt,0.7313317548076995,10,0.86491935483871,4.6422512776,2.8933010339736898,0.2367548151599,0.014097796873088491,0.852895408614079,0.010470186174371185,0.8559573223167375,0.013842855676701194,0.8475703026975497,0.6935886746447691,False,0.8531098779222639
dla34,15742104,25.435111424,2.95698432,0.275754496,2.290753024,0.026196202847,1.336006345194,16.5860049724579,0,0.756552419354839,1.26055567264557,0.963470319634703,0.821068548387097,0.773185483870968,0.716733870967742,0.589717741935484,0.780745967741936,0.797883064516129,0.765625,0.80241935483871,0.787298387096774,1,CNN,0,derma_pt,0.7137293651914943,2,0.821068548387097,13.0981014235,8.29300248622895,0.668003172597,0.04751118448238907,0.7838279538684019,0.03588611588700287,0.7926243394854625,0.048445701060964026,0.7750117251529131,0.7708098910563288,True,0.7831293004074745
ecaresnet26t,16011916,25.435111424,3.854565376,0.268383744,3.391280128,0.0286473681,1.461015773114,17.8382904529572,0,0.829133064516129,1.34893755912781,0.993864155251142,0.828125,0.818548387096774,0.849798387096774,0.870463709677419,0.846774193548387,0.850302419354839,0.845262096774193,0.878528225806452,0.857862903225806,1,Other,1,derma_pt,0.7709590359121907,9,0.878528225806452,3.1830409,1.9820322725508,0.1623350859015555,0.008331710541260154,0.8712690641603136,0.0060842063197370936,0.8732154031322231,0.0080031824403494,0.8664888127691314,0.7933556058536785,False,0.8715530279175885
resnet26d,16014408,25.435111424,3.374317568,0.268406272,2.95417088,0.025202761108,1.297942197042,15.939840555191,0,0.754032258064516,1.23740217685699,0.977026255707763,0.790322580645161,0.778729838709677,0.784274193548387,0.807963709677419,0.781754032258065,0.823084677419355,0.815020161290323,0.839717741935484,0.832661290322581,1,CNN,0,derma_pt,0.7575378400153044,9,0.839717741935484,2.8003067897777774,1.7710933950212222,0.1442157996713333,0.006819332370467161,0.8340302127080167,0.0050163332546494166,0.8355264627552255,0.0066514252313212285,0.8294552349272429,0.7740742903460114,True,0.8341693270265056
